Term,Polarity,Score,UsedForAcquisition,UsedForReranking
congratulate,POS,1,Y,
congratulation,POS,1,Y,
congratulations,POS,1,Y,
congratulatory,POS,1,Y,
cons,NEG,1,Y,
conscientious,POS,1,Y,
conscons,NEG,1,Y,
conservative,NEG,1,Y,
considerate,POS,1,Y,
consistent,POS,1,Y,
consistently,POS,1,Y,
conspicuous,NEG,1,Y,
conspicuously,NEG,1,Y,
conspiracies,NEG,1,Y,
conspiracy,NEG,1,Y,
conspirator,NEG,1,Y,
conspiratorial,NEG,1,Y,
conspire,NEG,1,Y,
consternation,NEG,1,Y,
constructive,POS,1,Y,
consummate,POS,1,Y,
contagious,NEG,1,Y,
contaminate,NEG,1,Y,
contaminated,NEG,1,Y,
contaminates,NEG,1,Y,
contaminating,NEG,1,Y,
contamination,NEG,1,Y,
contempt,NEG,1,Y,
contemptible,NEG,1,Y,
contemptuous,NEG,1,Y,
contemptuously,NEG,1,Y,
contend,NEG,1,Y,
contention,NEG,1,Y,
contentious,NEG,1,Y,
contentment,POS,1,Y,
continuity,POS,1,Y,
contort,NEG,1,Y,
contortions,NEG,1,Y,
contradict,NEG,1,Y,
contradiction,NEG,1,Y,
contradictory,NEG,1,Y,
contrariness,NEG,1,Y,
contrasty,POS,1,Y,
contravene,NEG,1,Y,
contribution,POS,1,Y,
contrive,NEG,1,Y,
contrived,NEG,1,Y,
controversial,NEG,1,Y,
controversy,NEG,1,Y,
convenience,POS,1,Y,
convenient,POS,1,Y,
conveniently,POS,1,Y,
convience,POS,1,Y,
convienient,POS,1,Y,
convient,POS,1,Y,
convincing,POS,1,Y,
convincingly,POS,1,Y,
convoluted,NEG,1,Y,
cool,POS,1,Y,
coolest,POS,1,Y,
cooperative,POS,1,Y,
cooperatively,POS,1,Y,
cornerstone,POS,1,Y,
correct,POS,1,Y,
correctly,POS,1,Y,
corrode,NEG,1,Y,
corrosion,NEG,1,Y,
corrosions,NEG,1,Y,
corrosive,NEG,1,Y,
corrupt,NEG,1,Y,
corrupted,NEG,1,Y,
corrupting,NEG,1,Y,
corruption,NEG,1,Y,
corrupts,NEG,1,Y,
corruptted,NEG,1,Y,
cost-effective,POS,1,Y,
cost-saving,POS,1,Y,
costlier,NEG,1,Y,
costly,NEG,1,Y,
counter-attack,POS,1,Y,
counter-attacks,POS,1,Y,
counter-productive,NEG,1,Y,
counterproductive,NEG,1,Y,
coupists,NEG,1,Y,
courage,POS,1,Y,
courageous,POS,1,Y,
courageously,POS,1,Y,
courageousness,POS,1,Y,
courteous,POS,1,Y,
courtly,POS,1,Y,
covenant,POS,1,Y,
covetous,NEG,1,Y,
coward,NEG,1,Y,
cowardly,NEG,1,Y,
cozy,POS,1,Y,
crabby,NEG,1,Y,
crack,NEG,1,Y,
cracked,NEG,1,Y,
cracks,NEG,1,Y,
craftily,NEG,1,Y,
craftly,NEG,1,Y,
crafty,NEG,1,Y,
cramp,NEG,1,Y,
cramped,NEG,1,Y,
cramping,NEG,1,Y,
cranky,NEG,1,Y,
crap,NEG,1,Y,
crappy,NEG,1,Y,
craps,NEG,1,Y,
crash,NEG,1,Y,
crashed,NEG,1,Y,
crashes,NEG,1,Y,
crashing,NEG,1,Y,
crass,NEG,1,Y,
craven,NEG,1,Y,
cravenly,NEG,1,Y,
craze,NEG,1,Y,
crazily,NEG,1,Y,
craziness,NEG,1,Y,
crazy,NEG,1,Y,
creak,NEG,1,Y,
creaking,NEG,1,Y,
creaks,NEG,1,Y,
creative,POS,1,Y,
credence,POS,1,Y,
credible,POS,1,Y,
credulous,NEG,1,Y,
creep,NEG,1,Y,
creeping,NEG,1,Y,
creeps,NEG,1,Y,
creepy,NEG,1,Y,
crept,NEG,1,Y,
crime,NEG,1,Y,
criminal,NEG,1,Y,
cringe,NEG,1,Y,
cringed,NEG,1,Y,
cringes,NEG,1,Y,
cripple,NEG,1,Y,
crippled,NEG,1,Y,
cripples,NEG,1,Y,
crippling,NEG,1,Y,
crisis,NEG,1,Y,
crisp,POS,1,Y,
crisper,POS,1,Y,
critic,NEG,1,Y,
critical,NEG,1,Y,
criticism,NEG,1,Y,
criticisms,NEG,1,Y,
criticize,NEG,1,Y,
criticized,NEG,1,Y,
criticizing,NEG,1,Y,
critics,NEG,1,Y,
cronyism,NEG,1,Y,
crook,NEG,1,Y,
crooked,NEG,1,Y,
crooks,NEG,1,Y,
crowded,NEG,1,Y,
crowdedness,NEG,1,Y,
crude,NEG,1,Y,
cruel,NEG,1,Y,
crueler,NEG,1,Y,
cruelest,NEG,1,Y,
cruelly,NEG,1,Y,
cruelness,NEG,1,Y,
cruelties,NEG,1,Y,
cruelty,NEG,1,Y,
crumble,NEG,1,Y,
crumbling,NEG,1,Y,
crummy,NEG,1,Y,
crumple,NEG,1,Y,
crumpled,NEG,1,Y,
crumples,NEG,1,Y,
crush,NEG,1,Y,
crushed,NEG,1,Y,
crushing,NEG,1,Y,
cry,NEG,1,Y,
culpable,NEG,1,Y,
culprit,NEG,1,Y,
cumbersome,NEG,1,Y,
cunt,NEG,1,Y,
cunts,NEG,1,Y,
cuplrit,NEG,1,Y,
cure,POS,1,Y,
cure-all,POS,1,Y,
curse,NEG,1,Y,
cursed,NEG,1,Y,
curses,NEG,1,Y,
curt,NEG,1,Y,
cushy,POS,1,Y,
cuss,NEG,1,Y,
cussed,NEG,1,Y,
cute,POS,1,Y,
cuteness,POS,1,Y,
cutthroat,NEG,1,Y,
cynical,NEG,1,Y,
cynicism,NEG,1,Y,
d*mn,NEG,1,Y,
damage,NEG,1,Y,Y
damaged,NEG,1,Y,
damages,NEG,1,Y,
damaging,NEG,1,Y,
damn,NEG,1,Y,
damnable,NEG,1,Y,
damnably,NEG,1,Y,
damnation,NEG,1,Y,
damned,NEG,1,Y,
damning,NEG,1,Y,
damper,NEG,1,Y,
danger,NEG,1,Y,
dangerous,NEG,1,Y,Y
dangerousness,NEG,1,Y,
danke,POS,1,Y,
danken,POS,1,Y,
daring,POS,1,Y,
daringly,POS,1,Y,
dark,NEG,1,Y,
darken,NEG,1,Y,
darkened,NEG,1,Y,
darker,NEG,1,Y,
darkness,NEG,1,Y,
darling,POS,1,Y,
dashing,POS,1,Y,
dastard,NEG,1,Y,
dastardly,NEG,1,Y,
daunt,NEG,1,Y,
daunting,NEG,1,Y,
dauntingly,NEG,1,Y,
dauntless,POS,1,Y,
dawdle,NEG,1,Y,
dawn,POS,1,Y,
daze,NEG,1,Y,
dazed,NEG,1,Y,
dazzle,POS,1,Y,
dazzled,POS,1,Y,
dazzling,POS,1,Y,
dead,NEG,1,Y,
dead-cheap,POS,1,Y,
dead-on,POS,1,Y,
deadbeat,NEG,1,Y,
deadlock,NEG,1,Y,
deadly,NEG,1,Y,
deadweight,NEG,1,Y,
deaf,NEG,1,Y,
dearth,NEG,1,Y,
death,NEG,1,Y,
debacle,NEG,1,Y,
debase,NEG,1,Y,
debasement,NEG,1,Y,
debaser,NEG,1,Y,
debatable,NEG,1,Y,
debauch,NEG,1,Y,
debaucher,NEG,1,Y,
debauchery,NEG,1,Y,
debilitate,NEG,1,Y,
debilitating,NEG,1,Y,
debility,NEG,1,Y,
debt,NEG,1,Y,
debts,NEG,1,Y,
decadence,NEG,1,Y,
decadent,NEG,1,Y,
decay,NEG,1,Y,
decayed,NEG,1,Y,
deceit,NEG,1,Y,
deceitful,NEG,1,Y,
deceitfully,NEG,1,Y,
deceitfulness,NEG,1,Y,
deceive,NEG,1,Y,
deceiver,NEG,1,Y,
deceivers,NEG,1,Y,
deceiving,NEG,1,Y,
decency,POS,1,Y,
decent,POS,1,Y,
deception,NEG,1,Y,
deceptive,NEG,1,Y,
deceptively,NEG,1,Y,
decisive,POS,1,Y,
decisiveness,POS,1,Y,
declaim,NEG,1,Y,
decline,NEG,1,Y,
declines,NEG,1,Y,
declining,NEG,1,Y,
decrement,NEG,1,Y,
decrepit,NEG,1,Y,
decrepitude,NEG,1,Y,
decry,NEG,1,Y,
dedicated,POS,1,Y,
defamation,NEG,1,Y,
defamations,NEG,1,Y,
defamatory,NEG,1,Y,
defame,NEG,1,Y,
defeat,POS,1,Y,
defeated,POS,1,Y,
defeating,POS,1,Y,
defeats,POS,1,Y,
defect,NEG,1,Y,
defective,NEG,1,Y,
defects,NEG,1,Y,
defender,POS,1,Y,
defensive,NEG,1,Y,
deference,POS,1,Y,
defiance,NEG,1,Y,
defiant,NEG,1,Y,
defiantly,NEG,1,Y,
deficiencies,NEG,1,Y,
deficiency,NEG,1,Y,
deficient,NEG,1,Y,
defile,NEG,1,Y,
defiler,NEG,1,Y,
deform,NEG,1,Y,
deformed,NEG,1,Y,
defrauding,NEG,1,Y,
deft,POS,1,Y,
defunct,NEG,1,Y,
defy,NEG,1,Y,
degenerate,NEG,1,Y,
degenerately,NEG,1,Y,
degeneration,NEG,1,Y,
deginified,POS,1,Y,
degradation,NEG,1,Y,
degrade,NEG,1,Y,Y
degrading,NEG,1,Y,Y
degradingly,NEG,1,Y,
dehumanization,NEG,1,Y,
dehumanize,NEG,1,Y,
deign,NEG,1,Y,
deject,NEG,1,Y,
dejected,NEG,1,Y,
dejectedly,NEG,1,Y,
dejection,NEG,1,Y,
delay,NEG,1,Y,
delayed,NEG,1,Y,
delaying,NEG,1,Y,
delays,NEG,1,Y,
delectable,POS,1,Y,
delicacy,POS,1,Y,
delicate,POS,1,Y,
delicious,POS,1,Y,
delight,POS,1,Y,
delighted,POS,1,Y,Y
delightful,POS,1,Y,Y
delightfully,POS,1,Y,
delightfulness,POS,1,Y,
delinquency,NEG,1,Y,
delinquent,NEG,1,Y,
delirious,NEG,1,Y,
delirium,NEG,1,Y,
delude,NEG,1,Y,
deluded,NEG,1,Y,
deluge,NEG,1,Y,
delusion,NEG,1,Y,
delusional,NEG,1,Y,
delusions,NEG,1,Y,
demean,NEG,1,Y,
demeaning,NEG,1,Y,
demise,NEG,1,Y,
demolish,NEG,1,Y,
demolisher,NEG,1,Y,
demon,NEG,1,Y,
demonic,NEG,1,Y,
demonize,NEG,1,Y,
demonized,NEG,1,Y,
demonizes,NEG,1,Y,
demonizing,NEG,1,Y,
demoralize,NEG,1,Y,
demoralizing,NEG,1,Y,
demoralizingly,NEG,1,Y,
denial,NEG,1,Y,
denied,NEG,1,Y,
denies,NEG,1,Y,
denigrate,NEG,1,Y,
denounce,NEG,1,Y,
dense,NEG,1,Y,
dent,NEG,1,Y,
dented,NEG,1,Y,
dents,NEG,1,Y,
denunciate,NEG,1,Y,
denunciation,NEG,1,Y,
denunciations,NEG,1,Y,
deny,NEG,1,Y,
denying,NEG,1,Y,
dependable,POS,1,Y,
dependably,POS,1,Y,
deplete,NEG,1,Y,
deplorable,NEG,1,Y,
deplorably,NEG,1,Y,
deplore,NEG,1,Y,
deploring,NEG,1,Y,
deploringly,NEG,1,Y,
deprave,NEG,1,Y,
depraved,NEG,1,Y,
depravedly,NEG,1,Y,
deprecate,NEG,1,Y,
depress,NEG,1,Y,
depressed,NEG,1,Y,
depressing,NEG,1,Y,
depressingly,NEG,1,Y,
depression,NEG,1,Y,
depressions,NEG,1,Y,
deprive,NEG,1,Y,
deprived,NEG,1,Y,
deride,NEG,1,Y,
derision,NEG,1,Y,
derisive,NEG,1,Y,
derisively,NEG,1,Y,
derisiveness,NEG,1,Y,
derogatory,NEG,1,Y,
desecrate,NEG,1,Y,
desert,NEG,1,Y,
desertion,NEG,1,Y,
deservedly,POS,1,Y,
deserving,POS,1,Y,
desiccate,NEG,1,Y,
desiccated,NEG,1,Y,
desirable,POS,1,Y,
desiring,POS,1,Y,
desirous,POS,1,Y,
desititute,NEG,1,Y,
desolate,NEG,1,Y,
desolately,NEG,1,Y,
desolation,NEG,1,Y,
despair,NEG,1,Y,
despairing,NEG,1,Y,
despairingly,NEG,1,Y,
desperate,NEG,1,Y,
desperately,NEG,1,Y,
desperation,NEG,1,Y,
despicable,NEG,1,Y,
despicably,NEG,1,Y,
despise,NEG,1,Y,
despised,NEG,1,Y,
despoil,NEG,1,Y,
despoiler,NEG,1,Y,
despondence,NEG,1,Y,
despondency,NEG,1,Y,
despondent,NEG,1,Y,
despondently,NEG,1,Y,
despot,NEG,1,Y,
despotic,NEG,1,Y,
despotism,NEG,1,Y,
destabilisation,NEG,1,Y,
destains,NEG,1,Y,
destiny,POS,1,Y,
destitute,NEG,1,Y,
destitution,NEG,1,Y,
destroy,NEG,1,Y,
destroyer,NEG,1,Y,
destruction,NEG,1,Y,
destructive,NEG,1,Y,
desultory,NEG,1,Y,
detachable,POS,1,Y,
deter,NEG,1,Y,
deteriorate,NEG,1,Y,
deteriorating,NEG,1,Y,
deterioration,NEG,1,Y,
deterrent,NEG,1,Y,
detest,NEG,1,Y,
detestable,NEG,1,Y,
detestably,NEG,1,Y,
detested,NEG,1,Y,
detesting,NEG,1,Y,
detests,NEG,1,Y,
detract,NEG,1,Y,
detracted,NEG,1,Y,
detracting,NEG,1,Y,
detraction,NEG,1,Y,
detracts,NEG,1,Y,
detriment,NEG,1,Y,
detrimental,NEG,1,Y,
devastate,NEG,1,Y,
devastated,NEG,1,Y,
devastates,NEG,1,Y,
devastating,NEG,1,Y,Y
devastatingly,NEG,1,Y,
devastation,NEG,1,Y,
deviate,NEG,1,Y,
deviation,NEG,1,Y,
devil,NEG,1,Y,
devilish,NEG,1,Y,
devilishly,NEG,1,Y,
devilment,NEG,1,Y,
devilry,NEG,1,Y,
devious,NEG,1,Y,
deviously,NEG,1,Y,
deviousness,NEG,1,Y,
devoid,NEG,1,Y,
devout,POS,1,Y,
dexterous,POS,1,Y,
dexterously,POS,1,Y,
dextrous,POS,1,Y,
diabolic,NEG,1,Y,
diabolical,NEG,1,Y,
diabolically,NEG,1,Y,
diametrically,NEG,1,Y,
diappointed,NEG,1,Y,
diatribe,NEG,1,Y,
diatribes,NEG,1,Y,
dick,NEG,1,Y,
dictator,NEG,1,Y,
dictatorial,NEG,1,Y,
die,NEG,1,Y,
die-hard,NEG,1,Y,
died,NEG,1,Y,
dies,NEG,1,Y,
difficult,NEG,1,Y,
difficulties,NEG,1,Y,
difficulty,NEG,1,Y,
diffidence,NEG,1,Y,
dignified,POS,1,Y,
dignify,POS,1,Y,
dignity,POS,1,Y,
dilapidated,NEG,1,Y,
dilemma,NEG,1,Y,
diligence,POS,1,Y,
diligent,POS,1,Y,
diligently,POS,1,Y,
dilly-dally,NEG,1,Y,
dim,NEG,1,Y,
dimmer,NEG,1,Y,
din,NEG,1,Y,
ding,NEG,1,Y,
dings,NEG,1,Y,
dinky,NEG,1,Y,
diplomatic,POS,1,Y,
dire,NEG,1,Y,
direly,NEG,1,Y,
direness,NEG,1,Y,
dirt,NEG,1,Y,
dirt-cheap,POS,1,Y,
dirtbag,NEG,1,Y,
dirtbags,NEG,1,Y,
dirts,NEG,1,Y,
dirty,NEG,1,Y,
disable,NEG,1,Y,
disabled,NEG,1,Y,
disaccord,NEG,1,Y,
disadvantage,NEG,1,Y,
disadvantaged,NEG,1,Y,
disadvantageous,NEG,1,Y,
disadvantages,NEG,1,Y,
disaffect,NEG,1,Y,
disaffected,NEG,1,Y,
disaffirm,NEG,1,Y,
disagree,NEG,1,Y,
disagreeable,NEG,1,Y,
disagreeably,NEG,1,Y,
disagreed,NEG,1,Y,
disagreeing,NEG,1,Y,
disagreement,NEG,1,Y,
disagrees,NEG,1,Y,
disallow,NEG,1,Y,
disapointed,NEG,1,Y,
disapointing,NEG,1,Y,
disapointment,NEG,1,Y,
disappoint,NEG,1,Y,
disappointed,NEG,1,Y,
disappointing,NEG,1,Y,Y
disappointingly,NEG,1,Y,
disappointment,NEG,1,Y,
disappointments,NEG,1,Y,
disappoints,NEG,1,Y,
disapprobation,NEG,1,Y,
disapproval,NEG,1,Y,
disapprove,NEG,1,Y,
disapproving,NEG,1,Y,
disarm,NEG,1,Y,
disarray,NEG,1,Y,
disaster,NEG,1,Y,Y
disasterous,NEG,1,Y,
disastrous,NEG,1,Y,Y
disastrously,NEG,1,Y,
disavow,NEG,1,Y,
disavowal,NEG,1,Y,
disbelief,NEG,1,Y,
disbelieve,NEG,1,Y,
disbeliever,NEG,1,Y,
disclaim,NEG,1,Y,
discombobulate,NEG,1,Y,
discomfit,NEG,1,Y,
discomfititure,NEG,1,Y,
discomfort,NEG,1,Y,
discompose,NEG,1,Y,
disconcert,NEG,1,Y,
disconcerted,NEG,1,Y,
disconcerting,NEG,1,Y,
disconcertingly,NEG,1,Y,
disconsolate,NEG,1,Y,
disconsolately,NEG,1,Y,
disconsolation,NEG,1,Y,
discontent,NEG,1,Y,
discontented,NEG,1,Y,
discontentedly,NEG,1,Y,
discontinued,NEG,1,Y,
discontinuity,NEG,1,Y,
discontinuous,NEG,1,Y,
discord,NEG,1,Y,
discordance,NEG,1,Y,
discordant,NEG,1,Y,
discountenance,NEG,1,Y,
discourage,NEG,1,Y,
discouragement,NEG,1,Y,
discouraging,NEG,1,Y,
discouragingly,NEG,1,Y,
discourteous,NEG,1,Y,
discourteously,NEG,1,Y,
discoutinous,NEG,1,Y,
discredit,NEG,1,Y,
discrepant,NEG,1,Y,
discriminate,NEG,1,Y,
discrimination,NEG,1,Y,
discriminatory,NEG,1,Y,
disdain,NEG,1,Y,
disdained,NEG,1,Y,
disdainful,NEG,1,Y,
disdainfully,NEG,1,Y,
disfavor,NEG,1,Y,
disgrace,NEG,1,Y,Y
disgraced,NEG,1,Y,
disgraceful,NEG,1,Y,Y
disgracefully,NEG,1,Y,
disgruntle,NEG,1,Y,
disgruntled,NEG,1,Y,
disgust,NEG,1,Y,Y
disgusted,NEG,1,Y,
disgustedly,NEG,1,Y,
disgustful,NEG,1,Y,
disgustfully,NEG,1,Y,
disgusting,NEG,1,Y,
disgustingly,NEG,1,Y,
dishearten,NEG,1,Y,
disheartening,NEG,1,Y,
dishearteningly,NEG,1,Y,
dishonest,NEG,1,Y,
dishonestly,NEG,1,Y,
dishonesty,NEG,1,Y,
dishonor,NEG,1,Y,
dishonorable,NEG,1,Y,
dishonorablely,NEG,1,Y,
disillusion,NEG,1,Y,
disillusioned,NEG,1,Y,
disillusionment,NEG,1,Y,
disillusions,NEG,1,Y,
disinclination,NEG,1,Y,
disinclined,NEG,1,Y,
disingenuous,NEG,1,Y,
disingenuously,NEG,1,Y,
disintegrate,NEG,1,Y,
disintegrated,NEG,1,Y,
disintegrates,NEG,1,Y,
disintegration,NEG,1,Y,
disinterest,NEG,1,Y,
disinterested,NEG,1,Y,
dislike,NEG,1,Y,
disliked,NEG,1,Y,
dislikes,NEG,1,Y,
disliking,NEG,1,Y,
dislocated,NEG,1,Y,
disloyal,NEG,1,Y,
disloyalty,NEG,1,Y,
dismal,NEG,1,Y,
dismally,NEG,1,Y,
dismalness,NEG,1,Y,
dismay,NEG,1,Y,
dismayed,NEG,1,Y,
dismaying,NEG,1,Y,
dismayingly,NEG,1,Y,
dismissive,NEG,1,Y,
dismissively,NEG,1,Y,
disobedience,NEG,1,Y,
disobedient,NEG,1,Y,
disobey,NEG,1,Y,
disoobedient,NEG,1,Y,
disorder,NEG,1,Y,
disordered,NEG,1,Y,
disorderly,NEG,1,Y,
disorganized,NEG,1,Y,
disorient,NEG,1,Y,
disoriented,NEG,1,Y,
disown,NEG,1,Y,
disparage,NEG,1,Y,
disparaging,NEG,1,Y,
disparagingly,NEG,1,Y,
dispensable,NEG,1,Y,
dispirit,NEG,1,Y,
dispirited,NEG,1,Y,
dispiritedly,NEG,1,Y,
dispiriting,NEG,1,Y,
displace,NEG,1,Y,
displaced,NEG,1,Y,
displease,NEG,1,Y,
displeased,NEG,1,Y,
displeasing,NEG,1,Y,
displeasure,NEG,1,Y,
disproportionate,NEG,1,Y,
disprove,NEG,1,Y,
disputable,NEG,1,Y,
dispute,NEG,1,Y,
disputed,NEG,1,Y,
disquiet,NEG,1,Y,
disquieting,NEG,1,Y,
disquietingly,NEG,1,Y,
disquietude,NEG,1,Y,
disregard,NEG,1,Y,
disregardful,NEG,1,Y,
disreputable,NEG,1,Y,
disrepute,NEG,1,Y,
disrespect,NEG,1,Y,
disrespectable,NEG,1,Y,
disrespectablity,NEG,1,Y,
disrespectful,NEG,1,Y,
disrespectfully,NEG,1,Y,
disrespectfulness,NEG,1,Y,
disrespecting,NEG,1,Y,
disrupt,NEG,1,Y,
disruption,NEG,1,Y,
disruptive,NEG,1,Y,
diss,NEG,1,Y,
dissapointed,NEG,1,Y,
dissappointed,NEG,1,Y,
dissappointing,NEG,1,Y,
dissatisfaction,NEG,1,Y,
dissatisfactory,NEG,1,Y,
dissatisfied,NEG,1,Y,
dissatisfies,NEG,1,Y,
dissatisfy,NEG,1,Y,
dissatisfying,NEG,1,Y,
dissed,NEG,1,Y,
dissemble,NEG,1,Y,
dissembler,NEG,1,Y,
dissension,NEG,1,Y,
dissent,NEG,1,Y,
dissenter,NEG,1,Y,
dissention,NEG,1,Y,
disservice,NEG,1,Y,
disses,NEG,1,Y,
dissidence,NEG,1,Y,
dissident,NEG,1,Y,
dissidents,NEG,1,Y,
dissing,NEG,1,Y,
dissocial,NEG,1,Y,
dissolute,NEG,1,Y,
dissolution,NEG,1,Y,
dissonance,NEG,1,Y,
dissonant,NEG,1,Y,
dissonantly,NEG,1,Y,
dissuade,NEG,1,Y,
dissuasive,NEG,1,Y,
distains,NEG,1,Y,
distaste,NEG,1,Y,
distasteful,NEG,1,Y,
distastefully,NEG,1,Y,
distinction,POS,1,Y,
distinctive,POS,1,Y,
distinguished,POS,1,Y,
distort,NEG,1,Y,
distorted,NEG,1,Y,
distortion,NEG,1,Y,
distorts,NEG,1,Y,
distract,NEG,1,Y,
distracting,NEG,1,Y,
distraction,NEG,1,Y,
distraught,NEG,1,Y,
distraughtly,NEG,1,Y,
distraughtness,NEG,1,Y,
distress,NEG,1,Y,
distressed,NEG,1,Y,
distressing,NEG,1,Y,
distressingly,NEG,1,Y,
distrust,NEG,1,Y,
distrustful,NEG,1,Y,
distrusting,NEG,1,Y,
disturb,NEG,1,Y,
disturbance,NEG,1,Y,
disturbed,NEG,1,Y,
disturbing,NEG,1,Y,
disturbingly,NEG,1,Y,
disunity,NEG,1,Y,
disvalue,NEG,1,Y,
divergent,NEG,1,Y,
diversified,POS,1,Y,
divine,POS,1,Y,
divinely,POS,1,Y,
divisive,NEG,1,Y,
divisively,NEG,1,Y,
divisiveness,NEG,1,Y,
dizzing,NEG,1,Y,
dizzingly,NEG,1,Y,
dizzy,NEG,1,Y,
doddering,NEG,1,Y,
dodgey,NEG,1,Y,
dogged,NEG,1,Y,
doggedly,NEG,1,Y,
dogmatic,NEG,1,Y,
doldrums,NEG,1,Y,
dominate,POS,1,Y,
dominated,POS,1,Y,
dominates,POS,1,Y,
domineer,NEG,1,Y,
domineering,NEG,1,Y,
donside,NEG,1,Y,
doom,NEG,1,Y,
doomed,NEG,1,Y,
doomsday,NEG,1,Y,
dope,NEG,1,Y,
dote,POS,1,Y,
dotingly,POS,1,Y,
doubt,NEG,1,Y,
doubtful,NEG,1,Y,
doubtfully,NEG,1,Y,
doubtless,POS,1,Y,
doubts,NEG,1,Y,
douchbag,NEG,1,Y,
douchebag,NEG,1,Y,
douchebags,NEG,1,Y,
downbeat,NEG,1,Y,
downcast,NEG,1,Y,
downer,NEG,1,Y,
downfall,NEG,1,Y,
downfallen,NEG,1,Y,
downgrade,NEG,1,Y,
downhearted,NEG,1,Y,
downheartedly,NEG,1,Y,
downhill,NEG,1,Y,
downside,NEG,1,Y,
downsides,NEG,1,Y,
downturn,NEG,1,Y,
downturns,NEG,1,Y,
drab,NEG,1,Y,
draconian,NEG,1,Y,
draconic,NEG,1,Y,
drag,NEG,1,Y,
dragged,NEG,1,Y,
dragging,NEG,1,Y,
dragoon,NEG,1,Y,
drags,NEG,1,Y,
drain,NEG,1,Y,
drained,NEG,1,Y,
draining,NEG,1,Y,
drains,NEG,1,Y,
drastic,NEG,1,Y,
drastically,NEG,1,Y,
drawback,NEG,1,Y,
drawbacks,NEG,1,Y,
dread,NEG,1,Y,
dreadful,NEG,1,Y,Y
dreadfully,NEG,1,Y,
dreadfulness,NEG,1,Y,
dreamland,POS,1,Y,
dreary,NEG,1,Y,
dripped,NEG,1,Y,
dripping,NEG,1,Y,
drippy,NEG,1,Y,
drips,NEG,1,Y,
drones,NEG,1,Y,
droop,NEG,1,Y,
droops,NEG,1,Y,
drop-out,NEG,1,Y,
drop-outs,NEG,1,Y,
dropout,NEG,1,Y,
dropouts,NEG,1,Y,
drought,NEG,1,Y,
drowning,NEG,1,Y,
drunk,NEG,1,Y,
drunkard,NEG,1,Y,
drunken,NEG,1,Y,
dubious,NEG,1,Y,
dubiously,NEG,1,Y,
dubitable,NEG,1,Y,
dud,NEG,1,Y,
dull,NEG,1,Y,
dullard,NEG,1,Y,
dumb,NEG,1,Y,
dumbfound,NEG,1,Y,
dumbfounded,POS,1,Y,
dumbfounding,POS,1,Y,
dummy-proof,POS,1,Y,
dump,NEG,1,Y,
dumped,NEG,1,Y,
dumping,NEG,1,Y,
dumps,NEG,1,Y,
dunce,NEG,1,Y,
dungeon,NEG,1,Y,
dungeons,NEG,1,Y,
dupe,NEG,1,Y,
durable,POS,1,Y,
dust,NEG,1,Y,
dusty,NEG,1,Y,
dwindling,NEG,1,Y,
dying,NEG,1,Y,
dynamic,POS,1,Y,
eager,POS,1,Y,
eagerly,POS,1,Y,
eagerness,POS,1,Y,
earnest,POS,1,Y,
earnestly,POS,1,Y,
earnestness,POS,1,Y,
earsplitting,NEG,1,Y,
ease,POS,1,Y,
eased,POS,1,Y,
eases,POS,1,Y,
easier,POS,1,Y,
easiest,POS,1,Y,
easiness,POS,1,Y,
easing,POS,1,Y,
easy,POS,1,Y,
easy-to-use,POS,1,Y,
easygoing,POS,1,Y,
ebullience,POS,1,Y,
ebullient,POS,1,Y,
ebulliently,POS,1,Y,
eccentric,NEG,1,Y,
eccentricity,NEG,1,Y,
ecenomical,POS,1,Y,
economical,POS,1,Y,
ecstasies,POS,1,Y,
ecstasy,POS,1,Y,
ecstatic,POS,1,Y,
ecstatically,POS,1,Y,
edify,POS,1,Y,
educated,POS,1,Y,
effective,POS,1,Y,
effectively,POS,1,Y,
effectiveness,POS,1,Y,
effectual,POS,1,Y,
efficacious,POS,1,Y,
efficient,POS,1,Y,
efficiently,POS,1,Y,
effigy,NEG,1,Y,
effortless,POS,1,Y,
effortlessly,POS,1,Y,
effrontery,NEG,1,Y,
effusion,POS,1,Y,
effusive,POS,1,Y,
effusively,POS,1,Y,
effusiveness,POS,1,Y,
egocentric,NEG,1,Y,
egomania,NEG,1,Y,
egotism,NEG,1,Y,
egotistical,NEG,1,Y,
egotistically,NEG,1,Y,
egregious,NEG,1,Y,
egregiously,NEG,1,Y,
elan,POS,1,Y,
elate,POS,1,Y,
elated,POS,1,Y,
elatedly,POS,1,Y,
elation,POS,1,Y,
election-rigger,NEG,1,Y,
electrify,POS,1,Y,
elegance,POS,1,Y,
elegant,POS,1,Y,
elegantly,POS,1,Y,
elevate,POS,1,Y,
elimination,NEG,1,Y,
elite,POS,1,Y,
eloquence,POS,1,Y,
eloquent,POS,1,Y,
eloquently,POS,1,Y,
emaciated,NEG,1,Y,
emasculate,NEG,1,Y,
embarrass,NEG,1,Y,
embarrassing,NEG,1,Y,
embarrassingly,NEG,1,Y,
embarrassment,NEG,1,Y,
embattled,NEG,1,Y,
embolden,POS,1,Y,
embroil,NEG,1,Y,
embroiled,NEG,1,Y,
embroilment,NEG,1,Y,
emergency,NEG,1,Y,
eminence,POS,1,Y,
eminent,POS,1,Y,
empathize,POS,1,Y,
empathy,POS,1,Y,
emphatic,NEG,1,Y,
emphatically,NEG,1,Y,
empower,POS,1,Y,
empowerment,POS,1,Y,
emptiness,NEG,1,Y,
