TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,REL_GROUP
the,O,4,wannabes,det,DT,,Nominals
trendy,O,4,wannabes,amod,JJ,trend ##y,Nominals
wannabes,O,1,ignore,dobj,NNS,wanna ##bes,Objects
.,O,1,ignore,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
too,O,1,large,advmod,RB,,Adverbials
large,O,1,large,ROOT,JJ,,ROOT
for,O,1,large,prep,IN,,Coordination
just,O,4,two,advmod,RB,,Adverbials
two,O,5,people,nummod,CD,,Nominals
people,O,2,for,pobj,NNS,,Prepositions
but,O,9,left,cc,CC,,Coordination
nothing,O,9,left,nsubjpass,NN,,Subjects
was,O,9,left,auxpass,VBD,,Auxiliaries
left,O,9,left,ROOT,VBN,,ROOT
.,O,9,left,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,2,love,nsubj,PRP,,Subjects
absolutely,O,2,love,advmod,RB,,Adverbials
love,B-OP,2,love,ROOT,VBP,,ROOT
this,O,4,place,det,DT,,Nominals
place,B-ASP,2,love,dobj,NN,,Objects
!!!,O,2,love,punct,.,! ! !,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Great,B-OP,1,wine,amod,JJ,,Nominals
wine,B-ASP,1,wine,ROOT,NN,,ROOT
",",O,1,wine,punct,",",,Miscellaneous
great,B-OP,4,food,amod,JJ,,Nominals
food,B-ASP,1,wine,appos,NN,,Nominals
.,O,1,wine,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,staff,det,DT,,Nominals
staff,B-ASP,2,makes,nsubj,NN,,Subjects
makes,O,10,is,ccomp,VBZ,,Complements
you,O,4,feel,nsubj,PRP,,Subjects
feel,O,2,makes,ccomp,VB,,Complements
at,O,4,feel,prep,IN,,Coordination
home,O,5,at,pobj,NN,,Prepositions
",",O,10,is,punct,",",,Miscellaneous
the,O,9,food,det,DT,,Nominals
food,B-ASP,10,is,nsubj,NN,,Subjects
is,O,10,is,ROOT,VBZ,,ROOT
great,B-OP,10,is,acomp,JJ,,Complements
and,O,10,is,cc,CC,,Coordination
the,O,14,atmosphere,det,DT,,Nominals
atmosphere,B-ASP,15,is,nsubj,NN,,Subjects
is,O,10,is,conj,VBZ,,Coordination
WONDERFUL,B-OP,15,is,acomp,JJ,,Complements
!,O,15,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
A,O,1,restaurant,det,DT,,Nominals
restaurant,O,1,restaurant,ROOT,NN,,ROOT
that,O,5,try,nsubj,WDT,,Subjects
does,O,5,try,aux,VBZ,,Auxiliaries
n't,O,5,try,neg,RB,n ' t,Negation
try,O,1,restaurant,relcl,VB,,Nominals
to,O,7,do,aux,TO,,Auxiliaries
do,O,5,try,xcomp,VB,,Complements
anything,O,7,do,dobj,NN,,Objects
except,O,7,do,prep,IN,,Coordination
serve,O,9,except,pcomp,VB,,Prepositions
great,B-OP,12,food,amod,JJ,,Nominals
food,B-ASP,10,serve,dobj,NN,,Objects
with,O,10,serve,prep,IN,,Coordination
great,B-OP,15,service,amod,JJ,,Nominals
service,B-ASP,13,with,pobj,NN,,Prepositions
in,O,10,serve,prep,IN,,Coordination
a,O,19,atmosphere,det,DT,,Nominals
pleasant,B-OP,19,atmosphere,amod,JJ,,Nominals
atmosphere,B-ASP,16,in,pobj,NN,,Prepositions
.,O,1,restaurant,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,had,nsubj,PRP,,Subjects
had,O,1,had,ROOT,VBD,,ROOT
a,O,5,sandwich,det,DT,,Nominals
huge,B-OP,5,sandwich,amod,JJ,,Nominals
pastrami,B-ASP,5,sandwich,compound,NN,past ##ram ##i,Compund
sandwich,I-ASP,1,had,dobj,NN,,Objects
on,I-ASP,5,sandwich,prep,IN,,Coordination
a,I-ASP,8,roll,det,DT,,Nominals
roll,I-ASP,6,on,pobj,NN,,Prepositions
.,O,1,had,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,1,were,nsubj,PRP,,Subjects
were,O,1,were,ROOT,VBD,,ROOT
worried,O,1,were,acomp,JJ,,Complements
we,O,5,have,nsubj,PRP,,Subjects
would,O,5,have,aux,MD,,Auxiliaries
have,O,2,worried,ccomp,VB,,Complements
trouble,O,5,have,dobj,NN,,Objects
getting,O,6,trouble,acl,VBG,,Nominals
in,O,7,getting,prt,RB,,Compund
",",O,1,were,punct,",",,Miscellaneous
but,O,1,were,cc,CC,,Coordination
somehow,O,12,managed,advmod,RB,,Adverbials
managed,O,1,were,conj,VBD,,Coordination
to,O,14,have,aux,TO,,Auxiliaries
have,O,12,managed,xcomp,VB,,Complements
a,O,17,wait,det,DT,,Nominals
short,B-OP,17,wait,amod,JJ,,Nominals
wait,B-ASP,14,have,dobj,NN,,Objects
.,O,1,were,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
They,O,1,are,nsubj,PRP,,Subjects
are,O,1,are,ROOT,VBP,,ROOT
the,O,4,bagels,det,DT,,Nominals
best,B-OP,4,bagels,amod,JJS,,Nominals
bagels,B-ASP,1,are,attr,NNS,bag ##els,Objects
I,O,7,had,nsubj,PRP,,Subjects
've,O,7,had,aux,VBP,' ve,Auxiliaries
had,O,4,bagels,relcl,VBN,,Nominals
.,O,1,are,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Frankly,O,6,is,advmod,RB,,Adverbials
",",O,6,is,punct,",",,Miscellaneous
the,O,4,food,det,DT,,Nominals
chinese,B-ASP,4,food,amod,JJ,,Nominals
food,I-ASP,6,is,nsubj,NN,,Subjects
here,O,4,food,advmod,RB,,Adverbials
is,O,6,is,ROOT,VBZ,,ROOT
something,O,6,is,attr,NN,,Objects
I,O,10,make,nsubj,PRP,,Subjects
can,O,10,make,aux,MD,,Auxiliaries
make,O,7,something,relcl,VB,,Nominals
better,O,10,make,advmod,JJR,,Adverbials
at,O,10,make,prep,IN,,Coordination
home,O,12,at,pobj,NN,,Prepositions
.,O,6,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,had,nsubj,PRP,,Subjects
had,O,1,had,ROOT,VBD,,ROOT
the,O,5,special,det,DT,,Nominals
duck,B-ASP,4,breast,compound,NN,,Compund
breast,I-ASP,5,special,compound,NN,,Compund
special,I-ASP,1,had,dobj,NN,,Objects
on,O,1,had,prep,IN,,Coordination
my,O,9,visit,poss,PRP$,,Nominals
last,O,9,visit,amod,JJ,,Nominals
visit,O,6,on,pobj,NN,,Prepositions
and,O,1,had,cc,CC,,Coordination
it,O,12,was,nsubj,PRP,,Subjects
was,O,1,had,conj,VBD,,Coordination
incredible,B-OP,12,was,acomp,JJ,,Complements
.,O,12,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Warm,B-OP,3,surroundings,amod,JJ,,Nominals
",",O,3,surroundings,punct,",",,Miscellaneous
comfortable,B-OP,3,surroundings,amod,JJ,,Nominals
surroundings,B-ASP,3,surroundings,ROOT,NNS,,ROOT
",",O,3,surroundings,punct,",",,Miscellaneous
nice,B-OP,6,appointments,amod,JJ,,Nominals
appointments,O,3,surroundings,appos,NNS,,Nominals
(,O,8,witness,punct,-LRB-,,Miscellaneous
witness,O,6,appointments,parataxis,NN,,Miscellaneous
the,O,11,glass,det,DT,,Nominals
etched,O,11,glass,amod,VBN,,Nominals
glass,O,14,separating,nsubj,NN,,Subjects
and,O,11,glass,cc,CC,,Coordination
brickwork,O,11,glass,conj,NN,brick ##work,Coordination
separating,O,8,witness,ccomp,VBG,,Complements
the,O,17,rooms,det,DT,,Nominals
dining,B-ASP,17,rooms,compound,NN,,Compund
rooms,I-ASP,14,separating,dobj,NNS,,Objects
),O,8,witness,punct,-RRB-,,Miscellaneous
.,O,3,surroundings,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,'m,nsubj,PRP,,Subjects
'm,O,6,is,ccomp,VBP,' m,Complements
from,O,1,'m,prep,IN,,Coordination
sichuan,O,2,from,pobj,NNP,,Prepositions
",",O,6,is,punct,",",,Miscellaneous
this,O,6,is,nsubj,DT,,Subjects
is,O,6,is,ROOT,VBZ,,ROOT
the,O,8,restaurant,det,DT,,Nominals
restaurant,O,6,is,attr,NN,,Objects
I,O,10,recommend,nsubj,PRP,,Subjects
recommend,B-OP,8,restaurant,relcl,VBP,,Nominals
going,O,10,recommend,xcomp,VBG,,Complements
.,O,6,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,1,were,nsubj,PRP,,Subjects
were,O,1,were,ROOT,VBD,,ROOT
fast,O,1,were,acomp,JJ,,Complements
to,O,4,order,aux,TO,,Auxiliaries
order,O,1,were,xcomp,VB,,Complements
the,O,7,platter,det,DT,,Nominals
appetizer,O,7,platter,compound,NN,app ##eti ##zer,Compund
platter,O,4,order,dobj,NN,platt ##er,Objects
since,O,10,were,mark,IN,,Compund
we,O,10,were,nsubj,PRP,,Subjects
were,O,4,order,advcl,VBD,,Adverbials
very,O,12,hungry,advmod,RB,,Adverbials
hungry,O,10,were,acomp,JJ,,Complements
.,O,1,were,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Based,O,9,returned,prep,VBN,,Coordination
on,O,0,Based,prep,IN,,Coordination
a,O,3,visit,det,DT,,Nominals
visit,O,1,on,pobj,NN,,Prepositions
a,O,5,month,det,DT,,Nominals
month,O,6,ago,npadvmod,NN,,Noun
ago,O,3,visit,advmod,RB,,Adverbials
",",O,9,returned,punct,",",,Miscellaneous
I,O,9,returned,nsubj,PRP,,Subjects
returned,O,9,returned,ROOT,VBD,,ROOT
the,O,11,week,det,DT,,Nominals
week,O,9,returned,npadvmod,NN,,Noun
before,O,9,returned,prep,IN,,Coordination
Christmas,O,12,before,pobj,NNP,,Prepositions
and,O,9,returned,cc,CC,,Coordination
was,O,9,returned,conj,VBD,,Coordination
hugely,O,17,disappointed,advmod,RB,,Adverbials
disappointed,B-OP,15,was,acomp,JJ,,Complements
.,O,9,returned,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,place,det,DT,,Nominals
place,O,2,is,nsubj,NN,,Subjects
is,O,2,is,ROOT,VBZ,,ROOT
small,B-OP,2,is,acomp,JJ,,Complements
and,O,3,small,cc,CC,,Coordination
intimate,B-OP,3,small,conj,JJ,,Coordination
and,O,2,is,cc,CC,,Coordination
you,O,9,feel,nsubj,PRP,,Subjects
may,O,9,feel,aux,MD,,Auxiliaries
feel,O,2,is,conj,VB,,Coordination
a,O,11,little,det,DT,,Nominals
little,O,12,crowded,amod,JJ,,Nominals
crowded,B-OP,9,feel,acomp,JJ,,Complements
",",O,9,feel,punct,",",,Miscellaneous
but,O,9,feel,cc,CC,,Coordination
the,O,16,service,det,DT,,Nominals
service,B-ASP,17,is,nsubj,NN,,Subjects
is,O,9,feel,conj,VBZ,,Coordination
excellent,B-OP,17,is,acomp,JJ,,Complements
and,O,17,is,cc,CC,,Coordination
it,O,21,'s,nsubj,PRP,,Subjects
's,O,17,is,conj,VBZ,' s,Coordination
great,B-OP,21,'s,acomp,JJ,,Complements
for,O,21,'s,prep,IN,,Coordination
friends,O,23,for,pobj,NNS,,Prepositions
out,O,24,friends,prt,RP,,Compund
",",O,24,friends,punct,",",,Miscellaneous
a,O,29,date,det,DT,,Nominals
romantic,B-OP,29,date,amod,JJ,,Nominals
date,O,24,friends,appos,NN,,Nominals
",",O,29,date,punct,",",,Miscellaneous
or,O,29,date,cc,CC,,Coordination
a,O,34,occassion,det,DT,,Nominals
special,O,34,occassion,amod,JJ,,Nominals
occassion,O,29,date,conj,NN,o ##cca ##ssion,Coordination
.,O,21,'s,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Our,O,1,visit,nsubj,PRP$,,Subjects
visit,O,8,was,nsubj,NN,,Subjects
their,O,1,visit,dobj,PRP$,,Objects
to,O,4,say,aux,TO,,Auxiliaries
say,O,1,visit,xcomp,VB,,Complements
the,O,6,least,det,DT,,Nominals
least,O,4,say,dobj,JJS,,Objects
",",O,8,was,punct,",",,Miscellaneous
was,O,8,was,ROOT,VBD,,ROOT
an,O,13,experience,det,DT,,Nominals
unpleasant,O,13,experience,amod,JJ,,Nominals
and,O,10,unpleasant,cc,CC,,Coordination
costly,O,10,unpleasant,conj,JJ,,Coordination
experience,O,8,was,attr,NN,,Objects
!,O,8,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Quality,B-OP,1,ingredients,compound,NN,,Compund
ingredients,B-ASP,2,preparation,compound,NNS,,Compund
preparation,O,2,preparation,ROOT,NN,,ROOT
all,O,4,around,advmod,RB,,Adverbials
around,O,2,preparation,advmod,RB,,Adverbials
",",O,2,preparation,punct,",",,Miscellaneous
and,O,2,preparation,cc,CC,,Coordination
a,O,10,price,det,DT,,Nominals
very,O,9,fair,advmod,RB,,Adverbials
fair,B-OP,10,price,amod,JJ,,Nominals
price,B-ASP,2,preparation,conj,NN,,Coordination
for,O,10,price,prep,IN,,Coordination
NYC,O,11,for,pobj,NNP,,Prepositions
.,O,2,preparation,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,3,shared,nsubj,PRP,,Subjects
also,O,3,shared,advmod,RB,,Adverbials
had,O,3,shared,aux,VBD,,Auxiliaries
shared,O,3,shared,ROOT,VBN,,ROOT
a,O,6,salad,det,DT,,Nominals
house,B-ASP,6,salad,compound,NN,,Compund
salad,I-ASP,3,shared,dobj,NN,,Objects
that,O,8,was,nsubj,WDT,,Subjects
was,O,6,salad,relcl,VBD,,Nominals
fresh,B-OP,8,was,acomp,JJ,,Complements
.,O,3,shared,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Only,O,1,drawback,advmod,JJ,,Adverbials
drawback,O,1,drawback,ROOT,NN,draw ##back,ROOT
-,O,1,drawback,punct,:,,Miscellaneous
they,O,6,toast,nsubj,PRP,,Subjects
wo,O,6,toast,aux,MD,,Auxiliaries
n't,O,6,toast,neg,RB,n ' t,Negation
toast,O,1,drawback,acl,VB,,Nominals
your,O,8,bagel,poss,PRP$,,Nominals
bagel,O,6,toast,dobj,NN,bag ##el,Objects
",",O,6,toast,punct,",",,Miscellaneous
and,O,6,toast,cc,CC,,Coordination
they,O,14,make,nsubj,PRP,,Subjects
do,O,14,make,aux,VBP,,Auxiliaries
n't,O,14,make,neg,RB,n ' t,Negation
make,O,6,toast,conj,VB,,Coordination
eggs,O,14,make,dobj,NNS,,Objects
for,O,14,make,prep,IN,,Coordination
the,O,18,bagel,det,DT,,Nominals
bagel,O,16,for,pobj,NN,bag ##el,Prepositions
.,O,14,make,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,am,nsubj,PRP,,Subjects
am,O,1,am,ROOT,VBP,,ROOT
a,O,5,girl,det,DT,,Nominals
100,O,4,lb,nummod,CD,,Nominals
lb,O,5,girl,compound,CD,,Compund
girl,O,1,am,attr,NN,,Objects
",",O,7,had,punct,",",,Miscellaneous
had,O,1,am,conj,VBD,,Coordination
a,O,9,glass,det,DT,,Nominals
glass,B-ASP,7,had,dobj,NN,,Objects
of,I-ASP,9,glass,prep,IN,,Coordination
wine,I-ASP,10,of,pobj,NN,,Prepositions
and,O,9,glass,cc,CC,,Coordination
a,O,14,glass,det,DT,,Nominals
glass,B-ASP,9,glass,conj,NN,,Coordination
of,I-ASP,14,glass,prep,IN,,Coordination
beer,I-ASP,15,of,pobj,NN,,Prepositions
prior,O,7,had,advmod,RB,,Adverbials
to,O,17,prior,prep,IN,,Coordination
the,O,20,dinner,det,DT,,Nominals
dinner,B-ASP,18,to,pobj,NN,,Prepositions
",",O,7,had,punct,",",,Miscellaneous
and,O,7,had,cc,CC,,Coordination
I,O,24,was,nsubj,PRP,,Subjects
was,O,7,had,conj,VBD,,Coordination
still,O,24,was,advmod,RB,,Adverbials
HUNGRY,O,24,was,acomp,JJ,,Complements
after,O,24,was,prep,IN,,Coordination
my,O,29,visit,poss,PRP$,,Nominals
visit,O,27,after,pobj,NN,,Prepositions
to,O,29,visit,prep,IN,,Coordination
this,O,32,place,det,DT,,Nominals
place,O,30,to,pobj,NN,,Prepositions
!,O,24,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,'m,nsubj,PRP,,Subjects
'm,O,1,'m,ROOT,VBP,' m,ROOT
still,O,1,'m,advmod,RB,,Adverbials
mad,O,1,'m,acomp,JJ,,Complements
that,O,6,had,mark,IN,,Compund
i,O,6,had,nsubj,PRP,,Subjects
had,O,3,mad,ccomp,VBD,,Complements
to,O,8,pay,aux,TO,,Auxiliaries
pay,O,6,had,xcomp,VB,,Complements
for,O,8,pay,prep,IN,,Coordination
lousy,B-OP,11,food,amod,JJ,lou ##sy,Nominals
food,B-ASP,9,for,pobj,NN,,Prepositions
.,O,1,'m,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
A,O,1,classic,det,DT,,Nominals
classic,O,1,classic,ROOT,JJ,,ROOT
!,O,1,classic,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,staff,det,DT,,Nominals
staff,B-ASP,2,offers,nsubj,NN,,Subjects
offers,O,2,offers,ROOT,VBZ,,ROOT
impeccable,B-OP,4,service,amod,JJ,imp ##ec ##cable,Nominals
service,O,2,offers,dobj,NN,,Objects
.,O,2,offers,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,2,taken,nsubj,PRP,,Subjects
have,O,2,taken,aux,VBP,,Auxiliaries
taken,O,2,taken,ROOT,VBN,,ROOT
practically,O,4,every,advmod,RB,,Adverbials
every,O,5,guest,nummod,DT,,Nominals
guest,O,2,taken,dobj,NN,,Objects
that,O,8,come,nsubj,WDT,,Subjects
has,O,8,come,aux,VBZ,,Auxiliaries
come,O,5,guest,relcl,VBN,,Nominals
to,O,10,visit,aux,TO,,Auxiliaries
visit,O,8,come,advcl,VB,,Adverbials
me,O,10,visit,dobj,PRP,,Objects
in,O,10,visit,prep,IN,,Coordination
NY,O,12,in,pobj,NNP,,Prepositions
and,O,10,visit,cc,CC,,Coordination
hooked,O,10,visit,conj,VBD,,Coordination
a,O,17,few,quantmod,DT,,Miscellaneous
few,O,19,Yorkers,nummod,JJ,,Nominals
New,O,19,Yorkers,compound,NNP,,Compund
Yorkers,O,15,hooked,dobj,NNPS,yorker ##s,Objects
onto,O,15,hooked,prep,IN,,Coordination
Peep,O,20,onto,pobj,NNP,pee ##p,Prepositions
as,O,23,well,advmod,RB,,Adverbials
well,O,15,hooked,advmod,RB,,Adverbials
.,O,2,taken,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Check,O,0,Check,ROOT,VB,,ROOT
it,O,0,Check,dobj,PRP,,Objects
out,O,0,Check,prt,RP,,Compund
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
My,O,1,husband,poss,PRP$,,Nominals
husband,O,4,had,nsubj,NN,,Subjects
and,O,1,husband,cc,CC,,Coordination
I,O,1,husband,conj,PRP,,Coordination
had,O,4,had,ROOT,VBD,,ROOT
a,O,6,blast,det,DT,,Nominals
blast,O,4,had,dobj,NN,,Objects
.,O,4,had,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
esp,O,0,esp,ROOT,NNP,es ##p,ROOT
.,O,0,esp,punct,.,,Miscellaneous
during,O,2,during,ROOT,IN,,ROOT
happy,O,4,hour,amod,JJ,,Nominals
hour,O,2,during,pobj,NN,,Prepositions
!,O,2,during,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
in,O,9,offers,prep,IN,,Coordination
an,O,2,effort,det,DT,,Nominals
effort,O,0,in,pobj,NN,,Prepositions
to,O,4,increase,aux,TO,,Auxiliaries
increase,O,2,effort,acl,VB,,Nominals
turnover,O,4,increase,dobj,NN,,Objects
",",O,9,offers,punct,",",,Miscellaneous
the,O,8,restaurant,det,DT,,Nominals
restaurant,O,9,offers,nsubj,NN,,Subjects
offers,O,9,offers,ROOT,VBZ,,ROOT
no,O,11,desserts,det,DT,,Nominals
desserts,O,9,offers,dobj,NNS,dessert ##s,Objects
beyond,O,11,desserts,prep,IN,,Coordination
the,O,16,cup,det,DT,,Nominals
complimentary,O,16,cup,amod,JJ,compliment ##ary,Nominals
espresso,B-ASP,16,cup,compound,NN,es ##press ##o,Compund
cup,I-ASP,12,beyond,pobj,NN,,Prepositions
filled,I-ASP,16,cup,acl,VBN,,Nominals
with,I-ASP,17,filled,prep,IN,,Coordination
chocolate,I-ASP,20,mousse,compound,NN,,Compund
mousse,I-ASP,18,with,pobj,NN,mo ##uss ##e,Prepositions
.,O,9,offers,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,4,understand,nsubj,PRP,,Subjects
just,O,4,understand,advmod,RB,,Adverbials
do,O,4,understand,aux,VBP,,Auxiliaries
n't,O,4,understand,neg,RB,n ' t,Negation
understand,O,4,understand,ROOT,VB,,ROOT
all,O,7,hype,predet,PDT,,Nominals
the,O,7,hype,det,DT,,Nominals
hype,O,4,understand,dobj,NN,h ##ype,Objects
...,O,4,understand,punct,.,. . .,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Its,O,3,place,poss,PRP$,,Nominals
an,O,3,place,det,DT,,Nominals
excellent,B-OP,3,place,amod,JJ,,Nominals
place,B-ASP,3,place,ROOT,NN,,ROOT
to,O,5,relax,aux,TO,,Auxiliaries
relax,O,3,place,relcl,VB,,Nominals
and,O,3,place,cc,CC,,Coordination
the,O,8,food,det,DT,,Nominals
food,B-ASP,9,is,nsubj,NN,,Subjects
is,O,3,place,conj,VBZ,,Coordination
one,O,9,is,attr,CD,,Objects
of,O,10,one,prep,IN,,Coordination
the,O,13,best,det,DT,,Nominals
best,B-OP,11,of,pobj,JJS,,Prepositions
in,O,13,best,prep,IN,,Coordination
the,O,16,city,det,DT,,Nominals
city,O,14,in,pobj,NN,,Prepositions
of,O,16,city,prep,IN,,Coordination
New,O,19,York,compound,NNP,,Compund
York,O,17,of,pobj,NNP,,Prepositions
.,O,9,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
A,O,2,dissapointment,det,DT,,Nominals
real,O,2,dissapointment,amod,JJ,,Nominals
dissapointment,O,2,dissapointment,ROOT,NN,di ##ssa ##point ##ment,ROOT
.,O,2,dissapointment,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,'m,nsubj,PRP,,Subjects
'm,O,1,'m,ROOT,VBP,' m,ROOT
sure,O,1,'m,acomp,JJ,,Complements
I,O,5,return,nsubj,PRP,,Subjects
'll,O,5,return,aux,MD,' ll,Auxiliaries
return,O,2,sure,ccomp,VB,,Complements
for,O,5,return,prep,IN,,Coordination
a,O,10,tho,det,DT,,Nominals
final,O,10,tho,amod,JJ,,Nominals
judgement,O,10,tho,compound,NN,,Compund
tho,O,6,for,pobj,NN,,Prepositions
.,O,1,'m,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,2,recommend,nsubj,PRP,,Subjects
highly,O,2,recommend,advmod,RB,,Adverbials
recommend,B-OP,2,recommend,ROOT,VBP,,ROOT
this,O,5,place,det,DT,,Nominals
beautiful,B-OP,5,place,amod,JJ,,Nominals
place,B-ASP,2,recommend,dobj,NN,,Objects
.,O,2,recommend,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
This,O,1,diamond,det,DT,,Nominals
diamond,O,5,is,nsubj,NN,,Subjects
in,O,1,diamond,prep,IN,,Coordination
the,O,4,ruff,det,DT,,Nominals
ruff,O,2,in,pobj,NN,ru ##ff,Prepositions
is,O,5,is,ROOT,VBZ,,ROOT
definitely,O,5,is,advmod,RB,,Adverbials
worth,B-OP,5,is,acomp,JJ,,Complements
my,O,10,walk,poss,PRP$,,Nominals
10-minute,O,10,walk,amod,CD,10 - minute,Nominals
walk,O,7,worth,pobj,NN,,Prepositions
from,O,7,worth,prep,IN,,Coordination
the,O,14,train,det,DT,,Nominals
6,O,14,train,nummod,CD,,Nominals
train,O,11,from,pobj,NN,,Prepositions
.,O,5,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,Dancing,det,DT,,Nominals
Dancing,B-ASP,8,are,nsubj,NNP,,Subjects
",",I-ASP,1,Dancing,punct,",",,Miscellaneous
White,I-ASP,4,River,compound,NNP,,Compund
River,I-ASP,1,Dancing,conj,NNP,,Coordination
and,I-ASP,4,River,cc,CC,,Coordination
Millenium,I-ASP,7,rolls,compound,NNP,mill ##eni ##um,Compund
rolls,I-ASP,4,River,conj,NNS,,Coordination
are,O,8,are,ROOT,VBP,,ROOT
musts,B-OP,8,are,attr,NNS,must ##s,Objects
.,O,8,are,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,3,doors,det,DT,,Nominals
red,O,3,doors,amod,JJ,,Nominals
sliding,O,3,doors,amod,VBG,,Nominals
doors,B-ASP,5,be,nsubj,NNS,,Subjects
may,O,5,be,aux,MD,,Auxiliaries
be,O,5,be,ROOT,VB,,ROOT
unique,B-OP,5,be,acomp,JJ,,Complements
but,O,5,be,cc,CC,,Coordination
they,O,11,block,nsubj,PRP,,Subjects
do,O,11,block,aux,VBP,,Auxiliaries
not,O,11,block,neg,RB,,Negation
block,O,5,be,conj,VB,,Coordination
off,O,11,block,prt,RP,,Compund
the,O,15,air,det,DT,,Nominals
cold,O,15,air,amod,JJ,,Nominals
air,O,11,block,dobj,NN,,Objects
from,O,15,air,prep,IN,,Coordination
the,O,18,outside,det,DT,,Nominals
outside,O,16,from,pobj,NN,,Prepositions
.,O,11,block,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Eat,O,0,Eat,ROOT,VB,,ROOT
at,O,0,Eat,prep,IN,,Coordination
your,O,4,risk,poss,PRP$,,Nominals
own,O,4,risk,amod,JJ,,Nominals
risk,O,1,at,pobj,NN,,Prepositions
.,O,0,Eat,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,2,read,nsubj,PRP,,Subjects
've,O,2,read,aux,VBP,' ve,Auxiliaries
read,O,2,read,ROOT,VBN,,ROOT
some,O,2,read,dobj,DT,,Objects
of,O,3,some,prep,IN,,Coordination
the,O,7,reviews,det,DT,,Nominals
previews,O,7,reviews,compound,NNS,preview ##s,Compund
reviews,O,9,people,compound,NNS,,Compund
-,O,9,people,punct,:,,Miscellaneous
people,O,4,of,pobj,NNS,,Prepositions
are,O,2,read,ccomp,VBP,,Complements
either,O,10,are,advmod,CC,,Adverbials
not,O,10,are,neg,RB,,Negation
New,O,14,Yorkers,compound,NNPS,,Compund
Yorkers,O,10,are,attr,NNPS,yorker ##s,Objects
or,O,10,are,cc,CC,,Coordination
have,O,10,are,conj,VBP,,Coordination
more,O,18,appreciation,amod,JJR,,Nominals
